Country,"Market Role",Company,"Type of identification","Identification of organisation",Website,"Official Contact"
AT,DSO,"AAE Wasserkraft GmbH",AT-Code,AT007240,https://aae.at/,office@aae-wasserkraft.at
AT,DSO,"Alfenzwerke Elektrizitätserzeugung GmbH",AT-Code,AT006250,,office@alfenzwerke.at
AT,DSO,"Andreas Braunstein",AT-Code,AT008550,,andy.braunstein@aon.at
AT,DSO,"Anton Kittel Mühle Plaika GmbH",AT-Code,AT002220,https://kittelmuehle.at/,office@kittelmuehle.at
AT,DSO,"Austrian Power Grid AG",AT-Code,AT000000,https://www.apg.at/,office.uai@apg.at
AT,DSO,"Bad Gleichenberger Energie GmbH",AT-Code,AT008310,https://bg-energie.at/,office@bg-energie.at
AT,DSO,"Ebner Strom GmbH",AT-Code,AT003460,https://www.ebnerstrom.at/,kontakt@ebnerstrom.at
AT,DSO,"Elektrizitätsgenossenschaft Laintal eGen",AT-Code,AT008510,https://www.laintal-strom.at/,office@laintal-strom.at
AT,DSO,"Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.",AT-Code,AT004110,https://ewh.co.at/,ewerk@ewh.co.at
AT,DSO,"Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.",AT-Code,AT002910,http://www.clamstrom.at/,office@clamstrom.at
AT,DSO,"Elektrizitätswerk der Gemeinde Gries am Brenner",AT-Code,AT005540,https://www.griesambrenner.tirol.gv.at/Elektrizitaetswerk_der_Gemeinde_Gries_am_Brenner,ewerk@griesambrenner.tirol.gv.at
AT,DSO,"Elektrizitätswerk der Gemeinde Kematen",AT-Code,AT005350,https://ewerk.kematenintirol.at/,gemeindewerke.kematen@aon.at
AT,DSO,"Elektrizitätswerk der Stadtgemeinde Kindberg",AT-Code,AT008110,https://www.ewerk-kindberg.at/,sekretariat@ewerk-kindberg.at
AT,DSO,"Elektrizitätswerk Eisenhuber GmbH & Co KG",AT-Code,AT002210,https://www.eisenhuber.com/,johann.wagner@eisenhuber.com
AT,DSO,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",AT-Code,AT008570,https://ewerkfernitz.at/,office@ewerkfernitz.at
AT,DSO,"Elektrizitätswerk Gröbming KG",AT-Code,AT008620,https://www.das-ewerk.at/,office@ewerk-groebming.at
AT,DSO,"Elektrizitätswerk Mürzsteg",AT-Code,AT008370,http://www.neuberg-muerz.gv.at/e-werk-muerzsteg-2/,m.seiser@muerzsteg.at
AT,DSO,"Elektrizitätswerk Perg GmbH",AT-Code,AT003310,https://www.ewerk-perg.at/,ewerk@ewerk-perg.at
AT,DSO,"Elektrizitätswerk Prantl Gesellschaft m.b.H.",AT-Code,AT005460,https://www.prantlstrom.at/,ew-prantl@tirol.com
AT,DSO,"Elektrizitätswerk Winkler GmbH",AT-Code,AT005480,http://www.e-werk-winkler.at/,e.werk.winkler@aon.at
AT,DSO,"Elektrizitätswerke Bad Radkersburg GmbH",AT-Code,AT008450,https://www.ewerk-badradkersburg.at/,
AT,DSO,"Elektrizitätswerke Frastanz Gesellschaft m.b.H.",AT-Code,AT006210,https://www.ewerke.at/,info@ewerke.at
AT,DSO,"Elektrizitätswerke Reutte AG",AT-Code,AT005110,https://www.ewr-energie.com/,edm@ewr.at
AT,DSO,"Elektriztätswerk Mariahof GmbH",AT-Code,AT008650,http://www.ewerk-mariahof.at/,office@ewerk-mariahof.at
AT,DSO,"Elektrogenossenschaft Weerberg reg. Gen.m.b.H.",AT-Code,AT005630,,info@e-g-w.at
AT,DSO,"Elektrowerk Assling reg. Gen.m.b.H.",AT-Code,AT005490,https://www.ewa.at/,ewa@ewa.at
AT,DSO,"Elektrowerk Schöder GmbH",AT-Code,AT008720,https://www.evu-schoeder.at/,office@evu-schoeder.at
AT,DSO,"Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.",AT-Code,AT005600,https://www.ew-hopfgarten.at/,office@ew-hopfgarten.at
AT,DSO,"Energie Güssing GmbH",AT-Code,AT009220,https://e-guessing.at/,office@e-guessing.at
AT,DSO,"Energie Klagenfurt GmbH",AT-Code,AT007100,https://www.energieklagenfurt.at,office@energieklagenfurt.at
AT,DSO,"Energie Ried Gesellschaft m.b.H.",AT-Code,AT003200,https://www.energie-ried.at/,office@energie-ried.at
AT,DSO,"Energienetze Steiermark GmbH",AT-Code,AT008000,https://www.e-netze.at/,office@e-netze.at
AT,DSO,"Energieversorgung Kleinwalsertal Ges. m. b. H.",AT-Code,AT006230,https://www.evk.at/,info@evk.at
AT,DSO,"Energieversorgungs GmbH",AT-Code,AT003580,,strom@mitheis.at
AT,DSO,"Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH",AT-Code,AT008580,https://www.e-lugitsch.at/,office@lugitsch.at
AT,DSO,"ENVESTA Energie- und Dienstleistungs GmbH",AT-Code,AT008560,https://www.envesta.at/,office@envesta.at
AT,DSO,"EVU der Marktgemeinde Eibiswald",AT-Code,AT008390,,evu@eibiswald.gv.at
AT,DSO,"EVU der Stadtgemeinde Mureck",AT-Code,AT008360,https://evu-mureck.at/,markus.neubauer@evu-mureck.at
