Country,Market Role,Company,Type of identification,Identification of organisation,Website,Official Contact,Metering Grid Area,Metering Points served,Time of day for data availability ,Metering interval at the meter,Meter reading interval (Meter to DSO),Availability interval for 3rd parties,Permission Administrator
AT,DSO,AAE Wasserkraft GmbH,AT-Code,AT007240,https://aae.at/,office@aae-wasserkraft.at,,689,,,,,AAE Wasserkraft GmbH
AT,DSO,Alfenzwerke Elektrizitätserzeugung GmbH,AT-Code,AT006250,0,office@alfenzwerke.at,,14,,,,,Alfenzwerke Elektrizitätserzeugung GmbH
AT,DSO,Andreas Braunstein,AT-Code,AT008550,0,andy.braunstein@aon.at,,360,,,,,Andreas Braunstein
AT,DSO,Anton Kittel Mühle Plaika GmbH,AT-Code,AT002220,https://kittelmuehle.at/,office@kittelmuehle.at,,800,,,,,Anton Kittel Mühle Plaika GmbH
AT,DSO,Austrian Power Grid AG,AT-Code,AT000000,https://www.apg.at/,office.uai@apg.at,,0,,,,,Austrian Power Grid AG
AT,DSO,Bad Gleichenberger Energie GmbH,AT-Code,AT008310,https://bg-energie.at/,office@bg-energie.at,,2497,,,,,Bad Gleichenberger Energie GmbH
AT,DSO,Ebner Strom GmbH,AT-Code,AT003460,https://www.ebnerstrom.at/,kontakt@ebnerstrom.at,,7109,,,,,Ebner Strom GmbH
AT,DSO,Elektrizitätsgenossenschaft Laintal eGen,AT-Code,AT008510,https://www.laintal-strom.at/,office@laintal-strom.at,,354,,,,,Elektrizitätsgenossenschaft Laintal eGen
AT,DSO,Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.,AT-Code,AT004110,https://ewh.co.at/,ewerk@ewh.co.at,,5326,,,,,Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.
AT,DSO,Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.,AT-Code,AT002910,http://www.clamstrom.at/,office@clamstrom.at,,993,,,,,Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.
AT,DSO,Elektrizitätswerk der Gemeinde Gries am Brenner,AT-Code,AT005540,https://www.griesambrenner.tirol.gv.at/Elektrizitaetswerk_der_Gemeinde_Gries_am_Brenner,ewerk@griesambrenner.tirol.gv.at,,618,,,,,Elektrizitätswerk der Gemeinde Gries am Brenner
AT,DSO,Elektrizitätswerk der Gemeinde Kematen,AT-Code,AT005350,https://ewerk.kematenintirol.at/,gemeindewerke.kematen@aon.at,,1800,,,,,Elektrizitätswerk der Gemeinde Kematen
AT,DSO,Elektrizitätswerk der Stadtgemeinde Kindberg,AT-Code,AT008110,https://www.ewerk-kindberg.at/,sekretariat@ewerk-kindberg.at,,14037,,,,,Elektrizitätswerk der Stadtgemeinde Kindberg
AT,DSO,Elektrizitätswerk Eisenhuber GmbH & Co KG,AT-Code,AT002210,https://www.eisenhuber.com/,johann.wagner@eisenhuber.com,,2734,,,,,Elektrizitätswerk Eisenhuber GmbH & Co KG
AT,DSO,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",AT-Code,AT008570,https://ewerkfernitz.at/,office@ewerkfernitz.at,,9253,,,,,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG."
AT,DSO,Elektrizitätswerk Gröbming KG,AT-Code,AT008620,https://www.das-ewerk.at/,office@ewerk-groebming.at,,7078,,,,,Elektrizitätswerk Gröbming KG
AT,DSO,Elektrizitätswerk Mürzsteg,AT-Code,AT008370,http://www.neuberg-muerz.gv.at/e-werk-muerzsteg-2/,m.seiser@muerzsteg.at,,434,,,,,Elektrizitätswerk Mürzsteg
AT,DSO,Elektrizitätswerk Perg GmbH,AT-Code,AT003310,https://www.ewerk-perg.at/,ewerk@ewerk-perg.at,,7590,,,,,Elektrizitätswerk Perg GmbH
AT,DSO,Elektrizitätswerk Prantl Gesellschaft m.b.H.,AT-Code,AT005460,https://www.prantlstrom.at/,ew-prantl@tirol.com,,3457,,,,,Elektrizitätswerk Prantl Gesellschaft m.b.H.
AT,DSO,Elektrizitätswerk Winkler GmbH,AT-Code,AT005480,http://www.e-werk-winkler.at/,e.werk.winkler@aon.at,,531,,,,,Elektrizitätswerk Winkler GmbH
AT,DSO,Elektrizitätswerke Bad Radkersburg GmbH,AT-Code,AT008450,https://www.ewerk-badradkersburg.at/,,,2306,,,,,Elektrizitätswerke Bad Radkersburg GmbH
AT,DSO,Elektrizitätswerke Frastanz Gesellschaft m.b.H.,AT-Code,AT006210,https://www.ewerke.at/,info@ewerke.at,,4633,,,,,Elektrizitätswerke Frastanz Gesellschaft m.b.H.
AT,DSO,Elektrizitätswerke Reutte AG,AT-Code,AT005110,https://www.ewr-energie.com/,edm@ewr.at,,18495,,,,,Elektrizitätswerke Reutte AG
AT,DSO,Elektriztätswerk Mariahof GmbH,AT-Code,AT008650,http://www.ewerk-mariahof.at/,office@ewerk-mariahof.at,,4517,,,,,Elektriztätswerk Mariahof GmbH
AT,DSO,Elektrogenossenschaft Weerberg reg. Gen.m.b.H.,AT-Code,AT005630,0,info@e-g-w.at,,1009,,,,,Elektrogenossenschaft Weerberg reg. Gen.m.b.H.
AT,DSO,Elektrowerk Assling reg. Gen.m.b.H.,AT-Code,AT005490,https://www.ewa.at/,ewa@ewa.at,,839,,,,,Elektrowerk Assling reg. Gen.m.b.H.
AT,DSO,Elektrowerk Schöder GmbH,AT-Code,AT008720,https://www.evu-schoeder.at/,office@evu-schoeder.at,,2701,,,,,Elektrowerk Schöder GmbH
AT,DSO,Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.,AT-Code,AT005600,https://www.ew-hopfgarten.at/,office@ew-hopfgarten.at,,469,,,,,Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.
AT,DSO,Energie Güssing GmbH,AT-Code,AT009220,https://e-guessing.at/,office@e-guessing.at,,3969,,,,,Energie Güssing GmbH
AT,DSO,Energie Klagenfurt GmbH,AT-Code,AT007100,https://www.energieklagenfurt.at,office@energieklagenfurt.at,,86728,,,,,Energie Klagenfurt GmbH
