Country,"Market Role",Company,"Type of identification","Identification of organisation",Website,"Official Contact","Metering Grid Area"
AT,DSO,"AAE Wasserkraft GmbH",AT-Code,AT007240,https://aae.at/,office@aae-wasserkraft.at,"Carinthia or GeoFence"
AT,DSO,"Alfenzwerke Elektrizitätserzeugung GmbH",AT-Code,AT006250,0,office@alfenzwerke.at,"Tyrol or GeoFence"
AT,DSO,"Andreas Braunstein",AT-Code,AT008550,0,andy.braunstein@aon.at,"Styria or GeoFence"
AT,DSO,"Anton Kittel Mühle Plaika GmbH",AT-Code,AT002220,https://kittelmuehle.at/,office@kittelmuehle.at,"Lower Austria or GeoFence"
AT,DSO,"Austrian Power Grid AG",AT-Code,AT000000,https://www.apg.at/,office.uai@apg.at,-
AT,DSO,"Bad Gleichenberger Energie GmbH",AT-Code,AT008310,https://bg-energie.at/,office@bg-energie.at,"Styria or GeoFence"
AT,DSO,"Ebner Strom GmbH",AT-Code,AT003460,https://www.ebnerstrom.at/,kontakt@ebnerstrom.at,"Upper Austria or GeoFence"
AT,DSO,"Elektrizitätsgenossenschaft Laintal eGen",AT-Code,AT008510,https://www.laintal-strom.at/,office@laintal-strom.at,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.",AT-Code,AT004110,https://ewh.co.at/,ewerk@ewh.co.at,"Salzburg or GeoFence"
AT,DSO,"Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.",AT-Code,AT002910,http://www.clamstrom.at/,office@clamstrom.at,"Upper Austria or GeoFence"
AT,DSO,"Elektrizitätswerk der Gemeinde Gries am Brenner",AT-Code,AT005540,https://www.griesambrenner.tirol.gv.at/Elektrizitaetswerk_der_Gemeinde_Gries_am_Brenner,ewerk@griesambrenner.tirol.gv.at,"Tyrol or GeoFence"
AT,DSO,"Elektrizitätswerk der Gemeinde Kematen",AT-Code,AT005350,https://ewerk.kematenintirol.at/,gemeindewerke.kematen@aon.at,"Tyrol or GeoFence"
AT,DSO,"Elektrizitätswerk der Stadtgemeinde Kindberg",AT-Code,AT008110,https://www.ewerk-kindberg.at/,sekretariat@ewerk-kindberg.at,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerk Eisenhuber GmbH & Co KG",AT-Code,AT002210,https://www.eisenhuber.com/,johann.wagner@eisenhuber.com,"Lower Austria or GeoFence"
AT,DSO,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",AT-Code,AT008570,https://ewerkfernitz.at/,office@ewerkfernitz.at,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerk Gröbming KG",AT-Code,AT008620,https://www.das-ewerk.at/,office@ewerk-groebming.at,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerk Mürzsteg",AT-Code,AT008370,http://www.neuberg-muerz.gv.at/e-werk-muerzsteg-2/,m.seiser@muerzsteg.at,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerk Perg GmbH",AT-Code,AT003310,https://www.ewerk-perg.at/,ewerk@ewerk-perg.at,"Upper Austria or GeoFence"
AT,DSO,"Elektrizitätswerk Prantl Gesellschaft m.b.H.",AT-Code,AT005460,https://www.prantlstrom.at/,ew-prantl@tirol.com,"Tyrol or GeoFence"
AT,DSO,"Elektrizitätswerk Winkler GmbH",AT-Code,AT005480,http://www.e-werk-winkler.at/,e.werk.winkler@aon.at,"Tyrol or GeoFence"
AT,DSO,"Elektrizitätswerke Bad Radkersburg GmbH",AT-Code,AT008450,https://www.ewerk-badradkersburg.at/,,"Styria or GeoFence"
AT,DSO,"Elektrizitätswerke Frastanz Gesellschaft m.b.H.",AT-Code,AT006210,https://www.ewerke.at/,info@ewerke.at,"Tyrol or GeoFence"
AT,DSO,"Elektrizitätswerke Reutte AG",AT-Code,AT005110,https://www.ewr-energie.com/,edm@ewr.at,"Tyrol or GeoFence"
AT,DSO,"Elektriztätswerk Mariahof GmbH",AT-Code,AT008650,http://www.ewerk-mariahof.at/,office@ewerk-mariahof.at,"Styria or GeoFence"
AT,DSO,"Elektrogenossenschaft Weerberg reg. Gen.m.b.H.",AT-Code,AT005630,0,info@e-g-w.at,"Tyrol or GeoFence"
AT,DSO,"Elektrowerk Assling reg. Gen.m.b.H.",AT-Code,AT005490,https://www.ewa.at/,ewa@ewa.at,"Carinthia or GeoFence"
AT,DSO,"Elektrowerk Schöder GmbH",AT-Code,AT008720,https://www.evu-schoeder.at/,office@evu-schoeder.at,"Styria or GeoFence"
AT,DSO,"Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.",AT-Code,AT005600,https://www.ew-hopfgarten.at/,office@ew-hopfgarten.at,"Tyrol or GeoFence"
AT,DSO,"Energie Güssing GmbH",AT-Code,AT009220,https://e-guessing.at/,office@e-guessing.at,"Burgenland or GeoFence"
AT,DSO,"Energie Klagenfurt GmbH",AT-Code,AT007100,https://www.energieklagenfurt.at,office@energieklagenfurt.at,"Carinthia or GeoFence"
AT,DSO,"Energie Ried Gesellschaft m.b.H.",AT-Code,AT003200,https://www.energie-ried.at/,office@energie-ried.at,"Upper Austria or GeoFence"
AT,DSO,"Energienetze Steiermark GmbH",AT-Code,AT008000,https://www.e-netze.at/,office@e-netze.at,"Styria or GeoFence"
AT,DSO,"Energieversorgung Kleinwalsertal Ges. m. b. H.",AT-Code,AT006230,https://www.evk.at/,info@evk.at,"Tyrol or GeoFence"
AT,DSO,"Energieversorgungs GmbH",AT-Code,AT003580,0,strom@mitheis.at,"Upper Austria or GeoFence"
AT,DSO,"Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH",AT-Code,AT008580,https://www.e-lugitsch.at/,office@lugitsch.at,"Styria or GeoFence"
AT,DSO,"ENVESTA Energie- und Dienstleistungs GmbH",AT-Code,AT008560,https://www.envesta.at/,office@envesta.at,"Styria or GeoFence"
AT,DSO,"EVU der Marktgemeinde Eibiswald",AT-Code,AT008390,0,evu@eibiswald.gv.at,"Styria or GeoFence"
AT,DSO,"EVU der Stadtgemeinde Mureck",AT-Code,AT008360,https://evu-mureck.at/,markus.neubauer@evu-mureck.at,"Styria or GeoFence"
AT,DSO,"EVU Gerald Mathe e.U.",AT-Code,AT003570,http://www.mathestrom.at/,office@mathestrom.at,"Upper Austria or GeoFence"
AT,DSO,"EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH",AT-Code,AT005320,https://www.ewa-services.at/,office@ewa-services.at,"Tyrol or GeoFence"
AT,DSO,"E-Werk Altenfelden GmbH",AT-Code,AT003900,0,strom@freistrom.at,"Upper Austria or GeoFence"
