Country,Market Role,Company,Short Name,Type of identification,Identification of organisation,Approximate wait time for user to see request,Jumpoff URL to Permission Portal,Website,Official Contact,Permission Management Responsibility,Documentation of access,Identity service provider,Eligible party on-boarding,Eligible party test on-boarding,Price list for access to data by eligible parties
AT,DSO,AAE Wasserkraft GmbH,AAE Wasserkraft,AT-Code,AT007240,,https://kundenportal.aae-wasserkraft.at/,https://aae.at/,office@aae-wasserkraft.at,AAE Wasserkraft GmbH,https://www.ebutilities.at/home.html,AAE Wasserkraft GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Alfenzwerke Elektrizitätserzeugung GmbH,Alfenzwerke,AT-Code,AT006250,,-,,office@alfenzwerke.at,Alfenzwerke Elektrizitätserzeugung GmbH,https://www.ebutilities.at/home.html,Alfenzwerke Elektrizitätserzeugung GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Andreas Braunstein,Andreas Braunstein,AT-Code,AT008550,,-,,andy.braunstein@aon.at,Andreas Braunstein,https://www.ebutilities.at/home.html,Andreas Braunstein,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Anton Kittel Mühle Plaika GmbH,Anton Kittel Mühle Plaika,AT-Code,AT002220,,-,https://kittelmuehle.at/,office@kittelmuehle.at,Anton Kittel Mühle Plaika GmbH,https://www.ebutilities.at/home.html,Anton Kittel Mühle Plaika GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,TSO,Austrian Power Grid AG,Austrian Power Grid,AT-Code,AT000000,,-,https://www.apg.at/,office.uai@apg.at,Austrian Power Grid AG,https://www.ebutilities.at/home.html,Austrian Power Grid AG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Bad Gleichenberger Energie GmbH,Bad Gleichenberger Energie,AT-Code,AT008310,,https://gleichenberg-davidvo.mein-portal.at/Kundenportal/,https://bg-energie.at/,office@bg-energie.at,Bad Gleichenberger Energie GmbH,https://www.ebutilities.at/home.html,Bad Gleichenberger Energie GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Ebner Strom GmbH,Ebner Strom,AT-Code,AT003460,,https://ebnerstrom.mein-portal.at/kundenportal,https://www.ebnerstrom.at/,kontakt@ebnerstrom.at,Ebner Strom GmbH,https://www.ebutilities.at/home.html,Ebner Strom GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätsgenossenschaft Laintal eGen,Elektrizitätsgenossenschaft Laintal,AT-Code,AT008510,,https://www.endkundenwebportal.at/enVIEW.Portal/Account/Login?ReturnUrl=%2FenVIEW.Portal%2F,https://www.laintal-strom.at/,office@laintal-strom.at,Elektrizitätsgenossenschaft Laintal eGen,https://www.ebutilities.at/home.html,Elektrizitätsgenossenschaft Laintal eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.,Elektrizitätswerk Bad Hofgastein,AT-Code,AT004110,,https://ewh.verbrauch.at/auth/login?returnUrl=%2Fauth%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dportal-ewh%26redirect_uri%3Dhttps%253A%252F%252Fewh.verbrauch.at%252Fportal%252Fsignin-oidc%26response_type%3Dcode%2520id_token%26scope%3Dopenid%2520profile%26response_mode%3Dform_post%26nonce%3D638161052071340792.NmMwODY4NTItODYzNy00Y2NkLTgyOGQtMTkwYzljMjAzNGUyMDZmNTNlYzQtM2ZkYy00ZmY3LWJhYmEtYjI4NGM3MmI1YzU4%26state%3DCfDJ8C_usdthVTpCvJiYObe4SJ6-zn9jMtGFm1lRWtKpejs4iWS7JJHwjYkrdK_-fgqEbtFLcDIzWR8ZCX7aRMjfcLpzKLNHkqOBLBA8bXPwrge2IvPAq07wu6ZoyvwpiJsSzsRhxggNQq9vuiFvC7eu8Am85ZMdTL2Px-Z-Dcr023IrlvWkOq4SOdU6CPOOaKOoCFMq9scy5ygXmbmhMcIxRGPi7IOWRd63JzOURmQWv9NYvk9M6F_gAexIQ0E-lQzm49k37RYwZZnfSJkpv-YxemuW8uhN2GFHxZeEx0Y6q36-VNFwcOBJFmUEYElMFE6K21TYo3qiNDbxD74ynwhTu9M%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D5.3.0.0,https://ewh.co.at/,ewerk@ewh.co.at,Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Elektrizitätswerk Bad Hofgastein Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.,Elektrizitätswerk Clam,AT-Code,AT002910,,https://www.endkundenwebportal.at/enVIEW.Portal/Account/Login?ReturnUrl=%2FenVIEW.Portal%2F,http://www.clamstrom.at/,office@clamstrom.at,Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.,https://www.ebutilities.at/home.html,Elektrizitätswerk Clam Carl-Philip Clam-Martinic e. U.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk der Gemeinde Gries am Brenner,Elektrizitätswerk Gries am Brenner,AT-Code,AT005540,,https://griesambrenner.snw.at/,https://www.griesambrenner.tirol.gv.at/Elektrizitaetswerk_der_Gemeinde_Gries_am_Brenner,ewerk@griesambrenner.tirol.gv.at,Elektrizitätswerk der Gemeinde Gries am Brenner,https://www.ebutilities.at/home.html,Elektrizitätswerk der Gemeinde Gries am Brenner,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
